,year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count,published_at,title,likes_per_view,dislikes_per_view,comment_per_view
172,2010,E-Trade,True,True,False,False,False,False,True,1046640.0,1206.0,58.0,204.0,2010-02-08T02:51:01Z,E-Trade Baby Girlfriend Super Bowl Commercial 2010,0.12,0.01,0.02
173,2013,Budweiser,False,True,False,False,False,False,True,236.0,1.0,0.0,0.0,2013-02-07T03:48:14Z,Budweiser Black Crown - Celebration - Super Bowl 2013 Ads,0.42,0.0,0.0
174,2001,Pepsi,True,True,False,False,False,False,True,65162.0,109.0,4.0,38.0,2007-08-02T02:11:49Z,funny pepsi commercial,0.17,0.01,0.06
175,2018,Coca-Cola,False,True,False,False,False,False,True,179.0,1.0,0.0,0.0,2020-02-24T20:20:40Z,"Diet Coke Twisted Mango Super Bowl 2018 TV Commercial, 'Groove' Ft  Hayley Magnus",0.56,0.0,0.0
176,2003,Bud Light,True,True,False,False,False,False,False,177285.0,229.0,10.0,32.0,2007-06-16T01:22:34Z,Bud Light commercial - upside down clown,0.13,0.01,0.02
177,2011,Pepsi,True,True,False,False,True,False,True,204026.0,476.0,159.0,9.0,2014-01-17T00:07:33Z,PEPSI MAX - LOVE HURTS,0.23,0.08,0.0
178,2018,E-Trade,True,False,True,False,False,False,True,34440.0,178.0,11.0,15.0,2018-02-05T00:21:08Z,"ETrade ""This Is Getting Old"" 2018 Super Bowl Commercial",0.52,0.03,0.04
180,2008,Coca-Cola,True,True,False,True,True,True,False,62538.0,217.0,4.0,29.0,2008-10-05T03:35:32Z,"Coca Cola ""It's Mine"" Super Bowl commercial",0.35,0.01,0.05
181,2013,Kia,True,True,False,False,True,False,True,28847.0,154.0,10.0,30.0,2013-02-02T21:59:20Z,"Kia 'Hot Bots' - 2014 Kia Forte Super Bowl XLVII Car Ad (HD) ""Respect the tech"" - Official TV Spot",0.53,0.03,0.1
182,2014,Coca-Cola,False,True,True,False,False,True,False,92878.0,450.0,88.0,139.0,2014-02-03T00:56:01Z,"Coca Cola Super Bowl Commercial 2014 ""Its Beautiful"" HD 720p",0.48,0.09,0.15
183,2012,Budweiser,False,True,True,False,False,True,False,10.0,0.0,0.0,0.0,2019-05-14T10:33:01Z,Budweiser Return of the King 2012 Super Bowl commercial,0.0,0.0,0.0
184,2004,Bud Light,True,True,False,False,True,True,False,5699.0,27.0,1.0,0.0,2015-08-06T00:34:11Z,Bud Light Ad   Fergus Bud Light Bad dog!,0.47,0.02,0.0
185,2007,Bud Light,True,True,False,True,False,False,False,955616.0,1301.0,134.0,194.0,2007-02-05T04:23:12Z,Super Bowl XLI Commercial -Bud Light Starring: Carlos Mencia,0.14,0.01,0.02
186,2007,Budweiser,False,False,False,True,False,False,False,186.0,0.0,0.0,0.0,2015-09-28T18:21:03Z,Universal Casting Budweiser Commercial,0.0,0.0,0.0
187,2019,Kia,False,False,True,False,False,False,False,518.0,2.0,1.0,0.0,2019-01-25T17:08:54Z,Commercial Ads 2019 - KIA - The Great Unknowns – What If?,0.39,0.19,0.0
190,2003,Bud Light,True,True,False,False,False,False,False,175482.0,268.0,15.0,32.0,2008-01-03T02:43:15Z,Bud Light Commercial-Mother-in-Law,0.15,0.01,0.02
191,2018,Toyota,True,True,True,False,False,False,False,353513.0,1448.0,222.0,231.0,2018-02-03T14:44:03Z,Toyota Super Bowl 2018 Commercial (one team),0.41,0.06,0.07
192,2003,Budweiser,True,True,False,False,False,True,False,2732.0,8.0,0.0,1.0,2012-12-12T19:37:25Z,"Budweiser ""Instant Replay"" 2003",0.29,0.0,0.04
193,2013,Budweiser,False,True,False,False,False,True,False,246619.0,2225.0,64.0,67.0,2013-01-31T21:08:09Z,"The Clydesdales ""Brotherhood"" - 2013 Budweiser Super Bowl  [Commercial]",0.9,0.03,0.03
194,2010,Budweiser,True,True,True,False,False,True,False,42.0,1.0,0.0,0.0,2012-07-02T17:25:32Z,Budweiser - Body Bridge (2010) [HD],2.38,0.0,0.0
195,2003,Bud Light,True,True,False,False,False,True,False,16083.0,60.0,3.0,1.0,2010-02-13T20:18:29Z,Budweiser - No dogs allowed,0.37,0.02,0.01
196,2002,E-Trade,True,True,False,False,False,True,True,1361.0,9.0,0.0,0.0,2018-02-10T11:29:30Z,"E*TRADE Financial - Monkey Musical (2002, USA)",0.66,0.0,0.0
197,2006,Budweiser,True,True,False,False,True,False,False,120196.0,167.0,15.0,10.0,2006-02-06T11:08:37Z,"Super Bowl 2006: Bud Light ""On the Roof""",0.14,0.01,0.01
198,2012,Coca-Cola,False,True,False,False,True,True,False,22849816.0,92333.0,42386.0,592.0,2012-02-04T00:12:24Z,"Coke 2012 Commercial: ""Catch"" starring NE_Bear",0.4,0.19,0.0
199,2019,Bud Light,True,True,False,False,False,False,False,125.0,2.0,0.0,0.0,2019-10-19T00:00:06Z,Bud Light When the Trojan horse goes wrong Commercial,1.6,0.0,0.0
200,2007,Toyota,False,True,False,False,False,False,False,286010.0,221.0,62.0,114.0,2007-02-03T04:41:28Z,Toyota Tundra See Saw,0.08,0.02,0.04
201,2014,Hynudai,True,False,False,False,True,False,True,32557.0,202.0,7.0,5.0,2016-08-22T17:58:19Z,Cool Hyundai Super Bowl Commercial (2014) Dad's Sixth Sense - Hyundai Genesis,0.62,0.02,0.02
202,2006,Pepsi,True,True,False,True,True,False,False,69440.0,70.0,7.0,11.0,2007-01-12T23:45:55Z,Jackie Chan Diet Pepsi Ad,0.1,0.01,0.02
